AccountNumber,TaxMap,GPIN,LUC,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,,,
44,16-6-0-9-0,6709-29-2302,AG 20-100 AC,50,AC,193100,0,193100,418000,86300,697400,192600,0,192600,378500,80000,651100,A1,AG/GEN,,,
45,16-6-0-9-A,6709-28-5607,Cemetery,0.03,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,,,
46,16-6-0-10-0,6709-28-0034,AG 20-100 AC,30,AC,105800,92000,13800,0,0,105800,105000,92200,12800,0,0,105000,A1,AG/GEN,,,
47,16-6-0-11-0,6709-08-8493,AG 20-100 AC,22.2,AC,104200,64500,39700,440400,28800,573400,101600,53900,47700,396300,26600,524500,A1,AG/GEN,,,
48,16-6-0-12-0,5799-99-6128,AG 20-100 AC,63.63,AC,184900,155600,29300,0,0,184900,182800,155800,27000,0,0,182800,A1,AG/GEN,,,
49,18-1-0-64-C,6820-65-2555,SNGL FAM SUB,5.43,AC,65700,0,65700,202800,0,268500,64600,0,64600,165800,0,230400,A1,AG/GEN,,,
50,18-4-0-4-K,6820-11-7221,SNGL FAM SUB,6.393,AC,70700,0,70700,85500,800,157000,67700,0,67700,69500,800,138000,A1,AG/GEN,,,
51,18-4-0-4-L,6820-11-3849,SNGL FAM SUB,8.32,AC,80400,0,80400,40600,6000,127000,78300,0,78300,34300,6000,118600,A1,AG/GEN,,,
52,19-1-0-47-A,6830-89-6953,SNGL FAM SUB,4.51,AC,80300,0,80300,206100,0,286400,73000,0,73000,169400,0,242400,A1,AG/GEN,,,
53,19-1-0-58-A,6830-82-8542,SNGL FAM SUB,1.5,AC,58900,0,58900,138700,1200,198800,55100,0,55100,118100,1200,174400,A1,AG/GEN,,,
56,20-1-0-51-A,6841-70-9216,SNGL FAM SUB,1.5,AC,13000,0,13000,0,0,13000,12800,0,12800,0,0,12800,A1,AG/GEN,,,
